,Lowest Elev(ft),Diff
11,2187.76,0.4813274603450455
12,2187.76,0.4813274603450455
13,2187.76,0.4813274603450455
14,2187.76,0.4813274603450455
0,1547.8,0.4735742053890987
1,1547.8,0.4735742053890987
2,1547.8,0.4735742053890987
3,1547.8,0.4735742053890987
4,1547.8,0.4735742053890987
5,1547.8,0.4735742053890987
6,1547.8,0.4735742053890987
7,1547.8,0.4735742053890987
8,1547.8,0.4735742053890987
9,1547.8,0.4735742053890987
10,1547.8,0.4735742053890987
11,1547.8,0.4735742053890987
12,1547.8,0.4735742053890987
0,2098.43,6.91507452644681
1,2098.43,6.91507452644681
2,2098.43,6.91507452644681
3,2098.43,6.91507452644681
4,2098.43,6.91507452644681
5,2098.43,6.91507452644681
6,2098.43,6.91507452644681
7,2098.43,6.91507452644681
0,2125.59,0.1698636325864138
1,2125.59,0.1698636325864138
2,2125.59,0.1698636325864138
3,2125.59,0.1698636325864138
4,2125.59,0.1698636325864138
5,2125.59,0.1698636325864138
6,2125.59,0.1698636325864138
7,2125.59,0.1698636325864138
0,2087.2,0.6426108334142286
1,2087.2,0.6426108334142286
2,2087.2,0.6426108334142286
3,2087.2,0.6426108334142286
4,2087.2,0.6426108334142286
5,2087.2,0.6426108334142286
0,2386.25,0.6214102263517303
1,2386.25,0.6214102263517303
2,2386.25,0.6214102263517303
3,2386.25,0.6214102263517303
4,2386.25,0.6214102263517303
5,2386.25,0.6214102263517303
6,2386.25,0.6214102263517303
7,2386.25,0.6214102263517303
8,2386.25,0.6214102263517303
9,2386.25,0.6214102263517303
10,2386.25,0.6214102263517303
11,2386.25,0.6214102263517303
12,2386.25,0.6214102263517303
13,2386.25,0.6214102263517303
14,2386.25,0.6214102263517303
15,2386.25,0.6214102263517303
16,2386.25,0.6214102263517303
17,2386.25,0.6214102263517303
18,2386.25,0.6214102263517303
19,2386.25,0.6214102263517303
20,2386.25,0.6214102263517303
21,2386.25,0.6214102263517303
22,2386.25,0.6214102263517303
23,2386.25,0.6214102263517303
0,1953.48,0.6022466095119172
1,1953.48,0.6022466095119172
2,1953.48,0.6022466095119172
